Industry,Gender,Highest_Level_of_Education_Completed,average_salary
"Business or Consulting",Man,"College degree",114971.4143
"Agriculture or Forestry",Man,"College degree",77292.3077
"Computing or Tech",Man,"College degree",147913.8327
Retail,Man,"College degree",71528.3182
Nonprofits,Man,"College degree",79642.2411
"Engineering or Manufacturing",Man,"College degree",98143.1849
"Environmental Science",Man,"College degree",70000.0000
"Accounting, Banking & Finance",Man,"College degree",103710.5581
"Education (Higher Education)",Man,"College degree",68556.5111
"Health Care",Man,"College degree",82219.6522
