Age_Range,Gender,median_salary
18-24,Man,50000.0000
18-24,Non-binary,39520.0000
18-24,Others,50000.0000
18-24,Woman,50000.0000
25-34,Man,82000.0000
25-34,Non-binary,55500.0000
25-34,Others,75000.0000
25-34,Woman,61500.0000
35-44,Man,105000.0000
35-44,Non-binary,76000.0000
35-44,Others,86000.0000
35-44,Woman,75000.0000
45-54,Man,120000.0000
45-54,Non-binary,75000.0000
45-54,Others,98500.0000
45-54,Woman,78400.0000
55-64,Man,117000.0000
55-64,Non-binary,105000.0000
55-64,Others,105000.0000
55-64,Woman,68000.0000
"65 or over",Man,107000.0000
"65 or over",Non-binary,2000000.0000
"65 or over",Others,28000.0000
"65 or over",Woman,53000.0000
"under 18",Non-binary,126276.0000
